392	ZM	SRX710978	ear
393	ZM	SRX711247	stem
394	ZM	SRX711230	stem
395	ZM	SRX2593618	embryos
396	ZM	SRX2035815	kernel
397	ZM	SRX313719	unknown
398	ZM	SRX2593665	endosperm
399	ZM	SRX151745	leaf
400	SL	SRX2245676	root
401	SL	SRX2245698	root
402	ZM	SRX710905	ear
403	ZM	SRX339820	internode
404	ZM	SRX710972	unknown
405	ZM	SRX711337	stem
406	ZM	SRX3187867	unknown
407	ZM	SRX711340	stem
408	ZM	SRX3187889	unknown
409	ZM	SRX1655615	endosperm
410	ST	SRX1478088	leaf
411	ZM	SRX2423172	root
412	ZM	SRX2527286	stem
414	ZM	SRX711034	ear
415	ZM	SRX711139	leaf
416	OS	SRX1549394	unknown
417	ZM	SRX339797	root
418	ZM	SRX339779	embryos
419	ZM	SRX711049	leaf
420	ZM	SRX711133	leaf
421	SL	SRX3615330	unknown
422	ZM	SRX711144	leaf
423	ZM	SRX339773	growth zone
424	ST	SRX1478116	leaf
425	ST	SRX1478082	leaf
426	ZM	SRX2423178	root
427	SL	SRX2035827	anther
428	OS	SRX480867	stem
431	ZM	SRX711202	stem
432	SL	SRX2578843	meristem
433	ZM	SRX711275	stem
434	SL	SRX1160113	ovule
435	ZM	SRX339818	internode
436	ZM	SRX711291	stem
437	ZM	SRX3187855	unknown
438	ZM	SRX711305	stem
439	ZM	SRX711208	stem
440	ZM	SRX710940	ear
441	SL	SRX1160119	ovary
442	ZM	SRX339812	silks
444	ZM	SRX313721	unknown
445	ZM	SRX745294	unknown
446	ZM	SRX745300	unknown
447	ZM	SRX827240	seedling
448	ZM	SRX2593620	embryos
449	ZM	SRX2593657	embryos
450	ST	SRX2737146	leaf
451	ZM	SRX2251423	leaf
452	ZM	SRX2251454	leaf
453	ZM	SRX711006	ear
454	ZM	SRX711192	leaf
455	ZM	SRX711071	leaf
456	ZM	SRX3599906	unknown
457	ZM	SRX2425988	kernel
458	ZM	SRX1528706	ovary
459	HV	SRX3056721	unknown
460	ST	SRX1478124	leaf
461	ZM	SRX711198	stem
462	ZM	SRX711176	leaf
463	ZM	SRX711095	leaf
464	ZM	SRX711101	leaf
465	ZM	SRX3599901	unknown
466	ZM	SRX711098	leaf
467	ZM	SRX711076	leaf
